256 [[51.55295660755762, -0.14336614129291259], [51.55301324543336, -0.1433050516621538]]
257 [[51.53774543184727, -0.14468751557658505], [51.537561602156714, -0.14451954598767464]]
258 [[51.52769452989134, -0.12722149275895195], [51.52761770312302, -0.12715116508535032]]
259 [[51.54870131062488, -0.1395576425919084], [51.548750047946065, -0.14039866515130608]]
260 [[51.525599979691236, -0.13290821917751924], [51.525497156498325, -0.1328047657468164]]
261 [[51.543444433942035, -0.14853585170017203], [51.54359606460002, -0.14854135437552157]]
262 [[51.52305432263081, -0.11770462457673285], [51.52299161268079, -0.11766641985277722]]
263 [[51.5189250484007, -0.11639591034535217], [51.51889963203472, -0.11658387197687285]]
264 [[51.53087175572344, -0.1333810785634592], [51.53108695855656, -0.13361254976852532]]
265 [[51.53227150606952, -0.1299158508032976], [51.532580547985326, -0.13012882617726002]]
266 [[51.517416954652994, -0.12941821771309403], [51.517457288561396, -0.12923989692244062]]
267 [[51.526833468246124, -0.12643342634557], [51.5267079403299, -0.12631844416906246]]
268 [[51.556904479654534, -0.16862833651210607], [51.5570145597063, -0.1684771610445292]]
269 [[51.53775391402046, -0.13302497629904736], [51.53734113123349, -0.13289341138196703]]
270 [[51.51993608565914, -0.10827786283801821], [51.5194753355223, -0.1081245141817653]]
271 [[51.52312847958751, -0.12464588199637965], [51.52315177579475, -0.12454174703469781]]
272 [[51.52928822372662, -0.12380388293495219], [51.529414515227295, -0.12393351179553902]]
273 [[51.52393646248776, -0.1256799082702075], [51.52403806398728, -0.1257615570178311]]
274 [[51.52637938861809, -0.1409213282689897], [51.526503250236544, -0.14090353058359262]]
275 [[51.52083499557567, -0.11615007806689508], [51.520901270387554, -0.11584626938856549]]
276 [[51.55372798385565, -0.14207905093605713], [51.55360845383398, -0.1422055466973816]]
277 [[51.545190313863685, -0.14396939152943813], [51.54504446056253, -0.14398022957641565]]
278 [[51.54082301573914, -0.15751252268910726], [51.54101126775849, -0.15740718551917038]]
279 [[51.51947430960045, -0.13673240293951694], [51.519415761101975, -0.13667103859507831]]
280 [[51.54570690557869, -0.13001878516772555], [51.545916402221266, -0.1304267405588922]]
281 [[51.555782984909776, -0.14904104404185287], [51.55582775068104, -0.14908270810137408]]
282 [[51.53470233690503, -0.13189280705151624], [51.534732598461005, -0.13194703808567843]]
283 [[51.55308754312966, -0.14316166966508564], [51.55309996476964, -0.14309617993142762]]
284 [[51.51687292300974, -0.11523378327752602], [51.51609542279662, -0.1147656979170564]]
285 [[51.52003923816752, -0.116152387639282], [51.52034518551358, -0.11632802914261478]]
286 [[51.519807580105415, -0.13610771583701736], [51.51968635932143, -0.13598118034175735]]
287 [[51.53366801601417, -0.14121225663164488], [51.5336520488537, -0.14081378522342708]]
288 [[51.54099467803398, -0.16513832500604286], [51.54066349569798, -0.16480552212031227]]
289 [[51.51763581878569, -0.132933445867102], [51.51775576616704, -0.1327374942060399]]
290 [[51.52583263290464, -0.136322173915599], [51.52606941515826, -0.1365576158576454]]
291 [[51.52101097088159, -0.13242975504309273], [51.521045228093634, -0.13235056703374115]]
292 [[51.5262144421637, -0.11836873692021047], [51.52613001910463, -0.11831842962315108]]
293 [[51.52788752772725, -0.12739816410808966], [51.527782486741984, -0.1273020089750811]]
294 [[51.54729493343758, -0.14120700931161861], [51.54730447658769, -0.1412962579920511]]
295 [[51.53438349862824, -0.13927938035806267], [51.534339443062194, -0.13970955009474564]]
296 [[51.56187778414187, -0.14959937476193713], [51.56185609868526, -0.14980458529986285]]
297 [[51.52856248118379, -0.12575936980126615], [51.52852612696132, -0.12585179498516905]]
298 [[51.548338085310284, -0.1462815492713245], [51.54843406866268, -0.14646230098611626]]
299 [[51.529387613158235, -0.12257193564164985], [51.52928293574926, -0.12282077183519895]]
300 [[51.541307592015976, -0.15352793466866632], [51.541450271919146, -0.15382669795054646]]
301 [[51.52325846469898, -0.1277669884765044], [51.52309867240593, -0.1276000839225386]]
302 [[51.548965002623085, -0.147675318373553], [51.5490647294073, -0.14783154333053516]]
303 [[51.54330496215844, -0.1400700114670277], [51.543355222908346, -0.13992348573448649]]
304 [[51.52433259283949, -0.13871101088498045], [51.524311891926004, -0.1388033157271406]]
305 [[51.527384246562335, -0.13767311756307424], [51.52783392595718, -0.13656643968633392]]
306 [[51.53500183926041, -0.1407410871319605], [51.5347624540605, -0.14054541962668912]]
307 [[51.5180857454515, -0.1342008005328519], [51.51822409624324, -0.13383175699050537]]
308 [[51.52682838879566, -0.12487007146147625], [51.52678405558723, -0.12482742467870318]]
309 [[51.55378209477405, -0.16376416106087882], [51.55383987771679, -0.16414816147685596]]
310 [[51.52123580544313, -0.11897590739849415], [51.521338033782186, -0.11903399584082155]]
311 [[51.54658545588486, -0.14387343405167666], [51.5464801753197, -0.14387920480910382]]
312 [[51.56023301718562, -0.1500775073231001], [51.56048546429506, -0.15021389246762984]]
313 [[51.55435736149023, -0.16565108510769175], [51.55439006421128, -0.16564981773298185]]
314 [[51.55442259676686, -0.17204613459471], [51.5542749025555, -0.17222748275573796]]
315 [[51.51985635600368, -0.12220925095985372], [51.51975526391187, -0.12246082186148535]]
316 [[51.52317560622836, -0.1410021595058268], [51.523229517730066, -0.14105674461164042]]
317 [[51.517822008415614, -0.12543052417511938], [51.51798148869299, -0.12505417253537782]]
318 [[51.553161796254166, -0.16159541124092747], [51.55328806648686, -0.16148052351171335]]
319 [[51.522217086343474, -0.13774499104106813], [51.52214838918662, -0.13767086752209706]]
320 [[51.521537750694314, -0.12114056941320711], [51.52160861744569, -0.12092864161919158]]
321 [[51.529692694341165, -0.1285838845023531], [51.52960579206701, -0.12849767138419527]]
322 [[51.519742227188594, -0.11505950215049565], [51.51979790846935, -0.11509020398693862]]
323 [[51.55713331648683, -0.17004731723225774], [51.55728735035519, -0.16984607577717886]]
324 [[51.54544517341224, -0.14637097335544436], [51.545413121424, -0.14614821492859317]]
325 [[51.523823374391306, -0.12836799042756875], [51.5236812502605, -0.12821678566270758]]
